Wall time,Step,Value
1651794758.1277862,0,-2.4347667694091797
1651794772.0085309,50,-4.975521087646484
1651794786.3349345,100,-2.7500429153442383
1651794802.4396157,150,-2.7125840187072754
1651794816.966305,200,-1.9132516384124756
1651794832.747589,250,-1.5818712711334229
1651794847.047855,300,-1.0281299352645874
1651794861.8778465,350,-1.0185723304748535
1651794876.802437,400,-0.8225930333137512
1651794891.4880626,450,-0.6102367043495178
1651794906.1038275,500,-0.5109812021255493
1651794921.5527086,550,-0.5464467406272888
1651794935.7925944,600,-0.6389575004577637
1651794954.204786,650,-0.5454129576683044
1651794972.2616897,700,-0.6027196049690247
1651794986.9876125,750,-0.45457854866981506
1651795003.4772034,800,-0.4209405779838562
1651795019.3301842,850,-0.3805382549762726
1651795037.3851163,900,-0.3471902906894684
1651795055.9266791,950,-0.41586893796920776
1651795076.017769,1000,-0.27802062034606934
1651795101.8677588,1050,-0.294099897146225
1651795123.582303,1100,-0.3448096513748169
1651795146.121527,1150,-0.3004659414291382
1651795168.3389966,1200,-0.3179868161678314
1651795190.159102,1250,-0.25619345903396606
1651795209.1467483,1300,-0.2665933668613434
1651795232.6965632,1350,-0.35945743322372437
1651795253.5890412,1400,-0.2194553166627884
1651795272.4822083,1450,-0.30150336027145386
1651795290.1251926,1500,-0.3129573464393616
1651795308.7252548,1550,-0.1988605260848999
1651795326.657955,1600,-0.18375910818576813
1651795344.3915286,1650,-0.18795979022979736
1651795363.2373245,1700,-0.19018791615962982
1651795380.9879189,1750,-0.19640693068504333
1651795399.8690598,1800,-0.2900223135948181
1651795416.6045148,1850,-0.2040092796087265
1651795434.0361643,1900,-0.15875180065631866
1651795451.468438,1950,-0.1655343472957611
1651795468.3654003,2000,-0.12918366491794586
1651795485.0830271,2050,-0.25556784868240356
1651795501.8920102,2100,-0.13573475182056427
1651795518.727062,2150,-0.14257586002349854
1651795536.178483,2200,-0.38245731592178345
1651795562.2591114,2250,-0.2185082733631134
1651795586.9739382,2300,-0.15792496502399445
1651795608.482448,2350,-0.20509600639343262
1651795629.1057112,2400,-0.1780819594860077
1651795649.7914088,2450,-0.11540694534778595
