Wall time,Step,Value
1651793538.1365778,0,-1.7601311206817627
1651793552.6350546,50,-0.15205752849578857
1651793568.3597028,100,-0.21763098239898682
1651793584.057604,150,-0.41589343547821045
1651793599.5233192,200,-0.9473731517791748
1651793618.2810457,250,-0.5914983749389648
1651793634.3943772,300,-0.5527064800262451
1651793649.9756017,350,-0.15035122632980347
1651793664.9658663,400,-0.5455505847930908
1651793681.3574698,450,-2.7787420749664307
1651793698.469557,500,-0.8574578762054443
1651793713.7702756,550,-0.3827996551990509
1651793729.0752163,600,-0.4238895773887634
1651793744.5522757,650,-0.7957172393798828
1651793760.5103412,700,-0.48927074670791626
1651793776.1283102,750,-0.5516083836555481
1651793792.0888553,800,-0.1799541413784027
1651793810.0190187,850,-0.1826459765434265
1651793827.7953436,900,-0.604526937007904
1651793845.7034965,950,-0.3797428011894226
1651793863.4274514,1000,-0.541807234287262
1651793881.2480571,1050,-0.675258219242096
1651793899.1676757,1100,-0.4725378751754761
1651793917.0421414,1150,-0.15519827604293823
1651793936.708544,1200,-0.4688170552253723
1651793961.9379687,1250,-0.42155489325523376
1651793980.9070847,1300,-0.2517853379249573
1651793998.4849138,1350,-0.32078248262405396
1651794016.5091524,1400,-0.9344195127487183
1651794034.2285962,1450,-0.3724408745765686
1651794053.095128,1500,-0.29660606384277344
1651794071.0674083,1550,-0.3348989486694336
1651794089.0202134,1600,-0.17389875650405884
1651794106.816441,1650,-0.3193400800228119
1651794125.1149702,1700,-0.23273256421089172
1651794143.0103927,1750,-0.4490794539451599
1651794162.2368739,1800,-0.21691370010375977
1651794180.6659582,1850,-0.2858062982559204
1651794198.6689699,1900,-0.294130802154541
1651794216.4505057,1950,-0.25478696823120117
1651794234.3347101,2000,-0.38466498255729675
1651794255.006044,2050,-0.3407895565032959
1651794274.5731444,2100,-0.18267054855823517
1651794296.800417,2150,-0.10908018797636032
1651794324.7523406,2200,-0.3511563241481781
1651794345.444689,2250,-0.5214487314224243
1651794365.1290958,2300,-1.5145297050476074
1651794387.2303393,2350,-0.49771836400032043
1651794409.9496832,2400,-0.3984016180038452
1651794429.695957,2450,-0.1672782599925995
