Wall time,Step,Value
1651798311.8501358,0,-1.3190999031066895
1651798328.5360508,50,-6.288022994995117
1651798345.8923078,100,-3.936807632446289
1651798363.3374774,150,-2.455418348312378
1651798381.5562606,200,-2.0770232677459717
1651798400.335615,250,-1.402421236038208
1651798419.0625997,300,-1.199723482131958
1651798437.533796,350,-1.062943935394287
1651798455.8130689,400,-0.7187460660934448
1651798475.867987,450,-0.6718832850456238
1651798494.5398054,500,-0.6698461771011353
1651798511.9543006,550,-0.5251803398132324
1651798528.0761173,600,-0.5350320339202881
1651798544.3921993,650,-0.37717151641845703
1651798562.0135996,700,-0.3682699501514435
1651798579.4196136,750,-0.39983221888542175
1651798596.416315,800,-0.3367645740509033
1651798615.340086,850,-0.31888383626937866
1651798634.188717,900,-0.30616530776023865
1651798653.6690037,950,-0.18742763996124268
1651798672.6603348,1000,-0.3552761971950531
1651798691.562265,1050,-0.20089519023895264
1651798710.918816,1100,-0.30129432678222656
1651798730.8459496,1150,-0.2330007404088974
1651798750.2244756,1200,-0.3032902777194977
1651798769.5652828,1250,-0.21891126036643982
1651798788.2937553,1300,-0.2447909265756607
1651798807.5829253,1350,-0.269315242767334
1651798826.335517,1400,-0.22347918152809143
1651798845.2116408,1450,-0.1913844645023346
1651798864.4674637,1500,-0.22691656649112701
1651798883.2405882,1550,-0.1638941764831543
1651798902.7527683,1600,-0.3190726935863495
1651798922.2306793,1650,-0.14494185149669647
1651798944.7721465,1700,-0.1718934029340744
1651798972.6647522,1750,-0.23081061244010925
1651798998.8521569,1800,-0.13399048149585724
1651799026.134149,1850,-0.217756986618042
1651799054.12006,1900,-0.1471991389989853
1651799083.1509519,1950,-0.20297595858573914
1651799111.9517188,2000,-0.10608471930027008
1651799139.4675717,2050,-0.10690373182296753
1651799166.6464798,2100,-0.13650433719158173
1651799193.7218652,2150,-0.1349332332611084
1651799223.3653417,2200,-0.10861867666244507
1651799251.1414874,2250,-0.18771815299987793
1651799280.1049042,2300,-0.10537265241146088
1651799320.080724,2350,-0.1284274011850357
1651799348.272935,2400,-0.09385469555854797
1651799373.3456588,2450,-0.2736877202987671
