Wall time,Step,Value
1651792231.5828295,0,-1.7601311206817627
1651792251.6375844,50,-5.655043125152588
1651792272.3450909,100,-3.9714853763580322
1651792290.677134,150,-2.906804084777832
1651792319.9880235,200,-2.1642801761627197
1651792340.3753996,250,-1.6235158443450928
1651792356.7399278,300,-1.2535717487335205
1651792373.503103,350,-1.146855354309082
1651792394.0492435,400,-1.1256768703460693
1651792415.4909537,450,-0.6992244720458984
1651792435.300266,500,-0.9131606221199036
1651792454.9586098,550,-0.7122690677642822
1651792475.5940962,600,-0.5567927956581116
1651792500.5517771,650,-0.5796834826469421
1651792522.4056509,700,-0.7840460538864136
1651792544.5220225,750,-0.6296569108963013
1651792563.5726874,800,-0.4061342775821686
1651792581.4168997,850,-0.767776608467102
1651792600.7692196,900,-0.3842058479785919
1651792618.716667,950,-0.3981136977672577
1651792639.9188013,1000,-0.45336276292800903
1651792667.199577,1050,-0.42139512300491333
1651792694.7484312,1100,-0.5213069319725037
1651792714.5403752,1150,-0.40584632754325867
1651792733.5314443,1200,-0.3747616112232208
1651792756.5831985,1250,-0.41292721033096313
1651792775.5998216,1300,-0.31525295972824097
1651792795.4871347,1350,-0.5109286308288574
1651792819.111029,1400,-0.3460215926170349
1651792848.609244,1450,-0.30985546112060547
1651792870.2832017,1500,-0.31264519691467285
1651792894.173771,1550,-0.357887864112854
1651792915.3037806,1600,-0.20240822434425354
1651792934.6456263,1650,-0.25704196095466614
1651792952.6062517,1700,-0.44931560754776
1651792970.422952,1750,-0.2162969708442688
1651792989.8411436,1800,-0.21677447855472565
1651793009.050439,1850,-0.2603754699230194
1651793029.361741,1900,-0.24580809473991394
1651793051.6487796,1950,-0.22873924672603607
1651793073.9908698,2000,-0.40910762548446655
1651793094.914624,2050,-0.19848035275936127
1651793117.2613578,2100,-0.28880584239959717
1651793138.9039667,2150,-0.3149977922439575
1651793157.6517632,2200,-0.1775602400302887
1651793178.3310778,2250,-0.22706322371959686
1651793199.7148657,2300,-0.17934536933898926
1651793218.8607774,2350,-0.21948042511940002
1651793238.6251235,2400,-0.17966601252555847
1651793256.995062,2450,-0.2009257674217224
