Wall time,Step,Value
1651796776.3333945,0,-1.7601311206817627
1651796791.8250682,50,-5.655043125152588
1651796807.4029186,100,-3.9714853763580322
1651796825.924534,150,-2.906804084777832
1651796844.8557577,200,-2.1642801761627197
1651796861.991103,250,-1.6235158443450928
1651796877.8570297,300,-1.2535717487335205
1651796895.5191932,350,-1.146855354309082
1651796913.0496664,400,-1.1256768703460693
1651796932.703915,450,-0.6992244720458984
1651796952.137838,500,-0.9131606221199036
1651796969.7750738,550,-0.7122690677642822
1651796988.654395,600,-0.5567927956581116
1651797007.1622622,650,-0.5796834826469421
1651797023.5330696,700,-0.7840460538864136
1651797039.6458843,750,-0.6296569108963013
1651797056.144361,800,-0.4061342775821686
1651797072.3461409,850,-0.767776608467102
1651797093.2475052,900,-0.3842058479785919
1651797111.6331189,950,-0.3981136977672577
1651797132.5013838,1000,-0.45336276292800903
1651797157.494854,1050,-0.42139512300491333
1651797180.831116,1100,-0.5213069319725037
1651797202.4085698,1150,-0.40584632754325867
1651797227.905388,1200,-0.3747616112232208
1651797250.2680476,1250,-0.41292721033096313
1651797272.4059367,1300,-0.31525295972824097
1651797293.9452915,1350,-0.5109286308288574
1651797315.5437362,1400,-0.3460215926170349
1651797339.731545,1450,-0.30985546112060547
1651797363.0604956,1500,-0.31264519691467285
1651797385.3658988,1550,-0.357887864112854
1651797407.3703563,1600,-0.20240822434425354
1651797427.3031645,1650,-0.25704196095466614
1651797449.9144487,1700,-0.44931560754776
1651797476.2472708,1750,-0.2162969708442688
1651797502.3505101,1800,-0.21677447855472565
1651797526.9306426,1850,-0.2603754699230194
1651797550.0680604,1900,-0.24580809473991394
1651797572.105653,1950,-0.22873924672603607
1651797590.8521824,2000,-0.40910762548446655
1651797610.6590383,2050,-0.19848035275936127
1651797630.1335588,2100,-0.28880584239959717
1651797649.4020169,2150,-0.3149977922439575
1651797670.2769787,2200,-0.1775602400302887
1651797691.6644976,2250,-0.22706322371959686
1651797715.4185944,2300,-0.17934536933898926
1651797735.2375586,2350,-0.21948042511940002
1651797756.3504105,2400,-0.17966601252555847
1651797777.9667792,2450,-0.2009257674217224
